"x"
2
5
9
7
1
99
2
5
9
7
1
99
2
5
9
7
1
99
2
5
9
7
1
99
2
5
9
7
1
99
2
5
9
7
1
99
2
5
9
7
1
99
2
5
9
7
1
99
2
5
9
7
1
99
2
5
9
7
1
99
2
5
9
7
1
99
2
5
9
7
1
99
2
5
9
7
1
99
2
5
9
7
1
99
2
5
9
7
1
99
2
5
9
7
1
99
2
5
9
7
1
99
2
5
9
7
1
99
2
5
9
7
1
99
2
5
9
7
1
99
2
7
3
5
6
2
8
6
3
5
2
5
9
7
6
2
4
5
6
1
2
5
9
7
1
2
6
3
1
8
2
5
9
7
1
2
5
9
7
1
2
5
9
4
7
2
5
9
4
1
2
5
9
7
1
2
5
9
1
8
2
5
9
0
1
2
5
9
7
1
2
5
9
7
1
2
5
9
3
7
2
5
9
7
1
2
3
1
7
6
2
5
1
8
3
2
5
9
3
6
2
5
9
1
3
2
5
9
7
1
2
5
9
7
1
2
5
9
0
3
2
5
9
3
8
2
9
7
1
3
2
5
9
8
4
2
1
9
6
7
2
1
3
5
8
2
6
8
5
4
2
5
9
7
1
2
5
9
8
6
2
5
4
7
9
2
5
9
6
3
2
5
9
7
1
2
5
9
7
4
2
5
9
7
1
2
5
9
7
1
2
5
9
4
7
2
1
4
5
9
2
4
6
7
3
2
9
3
6
7
2
8
1
7
3
2
5
9
7
1
2
5
6
7
3
2
5
9
6
1
2
5
9
7
1
2
5
9
7
1
2
5
9
7
1
2
5
9
7
3
2
6
5
8
4
2
5
9
7
1
2
1
7
3
5
2
5
9
4
6
2
3
5
8
4
2
5
9
7
1
2
5
9
1
4
2
5
9
4
8
2
5
9
7
1
2
5
9
7
1
2
5
9
3
4
2
5
9
8
1
2
3
7
5
9
2
5
9
1
6
2
5
9
4
3
2
5
9
6
7
2
5
9
7
1
2
6
1
9
5
2
9
8
5
1
2
4
7
8
5
2
5
9
6
4
2
8
4
9
7
2
7
6
9
3
2
5
9
1
7
2
5
9
7
1
2
8
5
1
4
2
3
4
8
6
2
5
9
7
1
2
7
5
6
1
2
5
9
7
1
2
5
9
3
1
2
5
9
7
1
2
5
9
7
1
2
5
9
7
1
2
5
9
7
1
2
5
9
8
3
2
4
8
9
6
2
5
9
7
1
2
7
8
1
9
2
5
9
7
1
